impressions,clicks,ad_position,device_type,budget,ctr
15895,950,7,mobile,6805.1,0.05976722239698018
960,190,9,desktop,6140.49,0.19791666666666666
5490,983,6,mobile,1505.01,0.1790528233151184
12064,800,3,desktop,8376.41,0.06631299734748011
11384,936,7,mobile,4284.93,0.08222066057624737
6365,909,5,mobile,2253.61,0.14281225451688923
16950,251,1,mobile,908.35,0.01480825958702065
4526,724,3,desktop,4196.36,0.15996464869642069
14523,291,5,mobile,6198.83,0.02003718240033051
11463,645,7,desktop,6670.51,0.05626799267207537
16123,201,3,mobile,9629.23,0.012466662531786889
8422,797,6,desktop,1573.82,0.09463310377582522
1785,326,5,mobile,9858.45,0.1826330532212885
869,511,1,mobile,6564.03,0.5880322209436134
2533,409,10,mobile,4569.58,0.16146861429135412
5411,607,6,mobile,8887.53,0.11217889484383663
5151,790,8,mobile,6960.07,0.15336827800427102
6520,962,1,tablet,3519.74,0.14754601226993866
17668,941,2,tablet,8846.65,0.053260131310844464
19869,837,4,desktop,6682.82,0.04212592480748905
6496,508,2,mobile,7003.43,0.07820197044334976
8766,731,9,mobile,8969.08,0.08339037189139858
19042,601,10,desktop,4511.74,0.03156181073416658
18531,72,8,mobile,6586.2,0.003885381253035454
2847,247,8,tablet,7459.66,0.0867579908675799
289,289,4,mobile,4566.7,1.0
19218,724,5,tablet,880.35,0.03767301488188157
3105,940,4,mobile,7725.83,0.3027375201288245
1999,855,9,desktop,525.77,0.42771385692846425
1367,608,2,mobile,7193.25,0.44476956839795173
18012,587,8,desktop,9113.21,0.032589384854541416
11494,935,2,mobile,3502.34,0.08134678962937185
3656,566,1,desktop,1065.51,0.1548140043763676
3990,344,10,desktop,2367.0,0.0862155388471178
8938,971,3,mobile,5644.7,0.10863727903334079
14602,925,9,mobile,9429.46,0.06334748664566497
10727,54,3,mobile,5147.21,0.005034026288803953
8892,730,9,mobile,1171.74,0.08209626630679262
10655,528,7,mobile,6296.44,0.04955419990614735
10353,611,10,mobile,7341.81,0.059016710132328794
8533,532,1,mobile,3963.17,0.062346185397867106
10333,558,10,desktop,7229.06,0.05400174199167715
11116,963,5,desktop,3281.99,0.08663188197193235
2712,193,9,mobile,7901.45,0.07116519174041298
15887,895,3,desktop,3443.67,0.05633536854031598
17259,58,9,desktop,2598.27,0.003360565502056898
12306,437,5,mobile,8797.85,0.035511132780757355
8326,111,9,mobile,5507.31,0.013331731924093202
14641,129,10,mobile,2887.31,0.008810873574209411
3252,849,6,desktop,9354.11,0.261070110701107
1685,706,9,desktop,6923.97,0.41899109792284867
4043,925,7,mobile,2245.97,0.2287905021023992
19557,852,7,desktop,6165.69,0.04356496395152631
1121,326,8,mobile,8710.07,0.29081177520071366
11753,8,7,mobile,6976.72,0.0006806772738875181
10905,29,9,desktop,2485.35,0.0026593305823016966
13517,112,9,desktop,6506.04,0.008285862247540134
8089,947,6,mobile,6210.64,0.11707256768450983
9792,673,7,mobile,8217.39,0.0687295751633987
13090,131,2,tablet,1822.42,0.010007639419404125
6973,188,9,mobile,7011.36,0.026961135809551125
5775,675,1,desktop,322.34,0.11688311688311688
261,261,1,mobile,6976.94,1.0
4397,475,3,mobile,9606.35,0.10802820104616784
1095,364,6,mobile,1785.16,0.3324200913242009
11634,204,5,mobile,3147.43,0.017534811758638472
7729,212,2,desktop,5849.57,0.02742916289300039
1116,621,9,mobile,7337.33,0.5564516129032258
8629,276,10,mobile,3476.5,0.031985166299687104
17362,73,4,mobile,6659.38,0.0042045847252620665
9368,679,4,mobile,8997.82,0.07248078565328779
12285,772,5,tablet,7279.26,0.06284086284086284
6431,243,8,desktop,7124.68,0.03778572539262945
8671,787,10,mobile,3850.61,0.09076231115211625
7308,102,4,desktop,9118.72,0.013957307060755337
5376,987,5,desktop,2809.36,0.18359375
18546,685,4,desktop,2092.54,0.036935188180739785
16548,171,6,mobile,3674.03,0.010333575054387237
16316,653,3,mobile,6519.05,0.040022064231429275
8106,909,8,mobile,8623.7,0.11213915618060696
2668,188,6,desktop,1364.18,0.0704647676161919
2127,441,10,desktop,8147.33,0.2073342736248237
2795,86,5,mobile,8137.59,0.03076923076923077
15522,476,2,mobile,5889.85,0.030666151269166345
5358,52,10,mobile,7618.45,0.009705113848450915
6836,111,10,mobile,1859.71,0.016237565827969574
491,491,7,tablet,1737.38,1.0
14086,877,2,mobile,8634.86,0.06226040039755786
12766,854,1,mobile,5006.58,0.06689644367852107
5992,43,7,tablet,2497.08,0.007176234979973298
3661,211,5,mobile,6902.87,0.05763452608576892
6284,968,1,desktop,8924.16,0.15404201145767027
19583,200,4,mobile,6341.61,0.01021293979471991
8492,810,4,mobile,3506.08,0.09538389072067828
13167,858,10,mobile,4858.22,0.06516290726817042
15365,752,7,desktop,7535.08,0.04894240156199154
19588,627,9,mobile,721.64,0.032009393506228306
2554,26,2,mobile,2210.79,0.010180109631949883
11937,919,1,desktop,4652.7,0.07698751780179275
14139,299,2,mobile,6062.2,0.021147181554565388
19215,77,7,mobile,3424.7,0.004007285974499089
11065,924,10,mobile,3018.99,0.08350655219159513
9862,137,6,mobile,461.77,0.013891705536402352
5156,20,4,desktop,374.39,0.003878975950349108
15048,440,1,desktop,2823.01,0.029239766081871343
8210,211,1,tablet,5328.54,0.025700365408038977
13873,752,5,desktop,5585.9,0.054206011677358897
17512,551,1,mobile,4965.57,0.03146413887619918
602,435,7,desktop,4128.31,0.7225913621262459
7010,780,1,mobile,2560.3,0.11126961483594865
12785,207,1,mobile,4036.91,0.01619084865076261
306,306,2,mobile,1430.66,1.0
17968,439,10,mobile,1196.83,0.024432324131789848
16034,974,3,desktop,3034.44,0.06074591493077211
17347,779,1,mobile,9953.72,0.044906900328587074
19274,666,9,mobile,3298.64,0.03455432188440386
8855,42,10,mobile,9367.74,0.0047430830039525695
12483,411,8,mobile,3953.01,0.03292477769766883
18241,523,5,mobile,4418.15,0.028671673702099665
14920,806,2,desktop,7980.78,0.05402144772117962
7674,610,5,mobile,981.7,0.07948918425853531
6474,427,6,desktop,1864.02,0.06595613222119247
1778,275,1,mobile,9739.71,0.1546681664791901
19726,448,4,mobile,5083.88,0.0227111426543648
1159,902,9,desktop,490.88,0.7782571182053495
16298,942,2,desktop,521.44,0.057798502883789425
10014,884,5,mobile,9077.04,0.08827641302176953
19641,742,1,desktop,8739.98,0.03777811720380836
10917,369,4,tablet,4611.07,0.033800494641384994
11021,938,4,tablet,1674.06,0.08511024407948461
9889,220,6,desktop,8311.33,0.02224694104560623
16412,577,10,desktop,3279.77,0.035157202047282475
11352,867,9,mobile,4219.63,0.07637420718816068
2793,232,3,desktop,6840.64,0.08306480486931615
14031,328,9,mobile,3566.31,0.023376808495474306
3727,443,6,tablet,6305.27,0.1188623557821304
16257,52,7,mobile,8858.56,0.003198622132004675
10273,886,10,mobile,7983.86,0.0862454979071352
18147,943,2,mobile,3847.03,0.051964512040557666
10330,376,10,mobile,2914.97,0.036398838334946754
15807,263,6,mobile,2890.83,0.01663819826659075
11594,267,6,mobile,3518.48,0.02302915301017768
1406,359,2,desktop,4960.49,0.2553342816500711
6876,317,2,desktop,4195.14,0.04610238510762071
9574,324,2,mobile,1373.39,0.03384165448088573
7626,921,10,desktop,1676.39,0.12077104642014162
5630,908,1,mobile,3462.15,0.16127886323268206
3848,666,5,mobile,5642.54,0.17307692307692307
13645,870,8,desktop,5947.01,0.06375961890802492
763,763,2,desktop,4887.76,1.0
2098,652,5,mobile,7400.82,0.3107721639656816
8094,939,8,mobile,7385.63,0.11601186063750926
17979,563,10,mobile,4304.89,0.03131431114077535
3404,629,5,mobile,1288.19,0.18478260869565216
18337,421,2,mobile,5325.24,0.02295904455472542
13908,46,3,tablet,3845.62,0.0033074489502444636
6685,821,6,desktop,1422.33,0.12281226626776365
17775,600,5,desktop,9819.08,0.03375527426160337
11749,720,4,mobile,3729.07,0.061281811217976
1736,889,4,desktop,6276.69,0.5120967741935484
17182,269,5,mobile,4926.78,0.015655918984984286
4837,601,2,mobile,1471.14,0.12425056853421543
14655,381,9,mobile,602.66,0.025997952917093142
13977,118,2,desktop,6276.41,0.008442441153323316
954,566,10,tablet,2507.87,0.5932914046121593
5955,953,2,mobile,2474.36,0.1600335852225021
7492,116,10,mobile,9571.91,0.015483182060864922
14049,630,9,mobile,4644.64,0.04484304932735426
18191,260,3,desktop,342.79,0.014292782145016766
5891,75,10,mobile,3431.44,0.01273128501103378
5031,480,7,mobile,5865.69,0.09540846750149076
19994,305,4,desktop,3319.25,0.015254576372911874
302,7,6,mobile,317.18,0.023178807947019868
11547,366,4,mobile,4470.9,0.0316965445570278
12788,634,10,mobile,1103.77,0.04957772912105098
4489,523,7,desktop,6210.64,0.11650701715304077
2427,348,1,mobile,6214.89,0.1433868974042027
8104,438,3,tablet,425.7,0.05404738400789733
19415,215,3,desktop,2942.13,0.011073911923770281
7877,429,1,mobile,4166.18,0.054462358766027674
297,297,6,mobile,5525.13,1.0
2030,498,9,mobile,2995.83,0.24532019704433497
11874,540,8,mobile,2913.08,0.045477513895907026
15187,747,7,tablet,9831.0,0.04918680450385198
9439,367,10,desktop,466.53,0.03888123741921814
11689,313,8,mobile,9891.0,0.026777312002737617
18995,538,6,mobile,525.13,0.028323242958673334
15808,921,9,mobile,2919.0,0.058261639676113364
17143,54,3,mobile,4962.22,0.003149973750218748
2911,541,10,mobile,1475.82,0.18584678804534524
14343,467,10,mobile,1391.72,0.03255943665899742
6646,865,9,tablet,2600.31,0.1301534757749022
2086,164,4,mobile,9736.4,0.07861936720997123
8438,782,7,mobile,3832.16,0.09267598957098838
11511,334,9,desktop,5681.65,0.029015724090000868
3011,547,2,mobile,7057.7,0.18166722019262704
1834,798,2,mobile,7435.11,0.4351145038167939
18327,348,9,mobile,6896.01,0.01898837780324112
8780,273,3,mobile,3402.44,0.03109339407744875
19460,963,9,tablet,1161.69,0.04948612538540596
18443,720,5,tablet,2853.08,0.03903920186520631
5859,750,6,tablet,2142.44,0.12800819252432155
2485,414,2,desktop,1405.96,0.16659959758551307
11211,500,8,mobile,293.74,0.0445990545000446
4836,93,9,tablet,9360.47,0.019230769230769232
1902,685,2,tablet,9214.29,0.3601472134595163
8255,79,6,mobile,551.65,0.009569957601453665
8220,622,6,mobile,1772.19,0.07566909975669099
6716,217,8,mobile,1438.03,0.032310899344848126
14357,947,10,mobile,2848.17,0.06596085533189384
14586,358,5,mobile,2080.49,0.02454408336761278
16746,618,9,tablet,9461.24,0.03690433536366894
14175,507,1,tablet,887.5,0.03576719576719577
